etfg_date,as_of_date,etf_ticker,constituent_ticker,constituent_description,constituent_weight,constituent_market_value,constituent_cusip,constituent_isin,constituent_figi,constituent_sedol,shares_held_of_constituent
2021-09-13,2021-09-13,QQQ,AAPL,APPLE INC,0.111961,21724764644.850000,037833100,US0378331005,BBG000B9XRY4,2046251,145267567.000000
2021-09-13,2021-09-13,QQQ,ADBE,ADOBE SYSTEMS INC,0.021053,4085061413.400000,00724F101,US00724F1012,BBG000BB5006,2008154,6331956.000000
2021-09-13,2021-09-13,QQQ,ADI,ANALOG DEVICES INC,0.004351,844316998.910000,032654105,US0326541051,BBG000BB6G37,2032067,4885811.000000
2021-09-13,2021-09-13,QQQ,ADP,AUTOMATIC DATA PROCESSING,0.005810,1127338200.000000,053015103,US0530151036,BBG000JG0547,2065308,5636691.000000
2021-09-13,2021-09-13,QQQ,ADSK,AUTODESK INC,0.004226,819982955.520000,052769106,US0527691069,BBG000BM7HL0,2065159,2915184.000000
2021-09-13,2021-09-13,QQQ,AEP,AMERICAN ELECTRIC POWER,0.003013,584686260.480000,025537101,US0255371017,BBG000BB9KF2,2026242,6620089.000000
2021-09-13,2021-09-13,QQQ,ALGN,Align Technology Inc.,0.003840,745053459.560000,016255101,US0162551016,BBG000BRNLL2,2679204,1048367.000000
2021-09-13,2021-09-13,QQQ,AMAT,APPLIED MATERIALS INC,0.008701,1688240796.480000,038222105,US0382221051,BBG000BBPFB9,2046552,12107292.000000
2021-09-13,2021-09-13,QQQ,AMD,ADVANCED MICRO DEVICES INC,0.008693,1686750026.400000,007903107,US0079031078,BBG000BBQCY0,2007849,16094943.000000
2021-09-13,2021-09-13,QQQ,AMGN,AMGEN INC,0.008501,1649451585.600000,031162100,US0311621009,BBG000BBS2Y0,2023607,7610980.000000
2021-09-13,2021-09-13,QQQ,AMZN,AMAZON.COM INC,0.078221,15177871707.030000,023135106,US0231351067,BBG000BVPV84,2000019,4390259.000000
2021-09-13,2021-09-13,QQQ,ANSS,ANSYS INC,0.002180,422980947.060000,03662Q105,US03662Q1058,BBG000GXZ4W7,2045623,1154487.000000
2021-09-13,2021-09-13,QQQ,ASML,ASML HOLDING NV-NY REG SHS,0.004726,916950477.840000,N07059210,USN070592100,BBG000K6MRN4,B908F01,1052466.000000
2021-09-13,2021-09-13,QQQ,ATVI,ACTIVISION BLIZZARD INC,0.004166,808305206.440000,00507V109,US00507V1098,BBG000CVWGS6,2575818,10292948.000000
2021-09-13,2021-09-13,QQQ,AVGO,Broadcom Inc.,0.013908,2698675554.960000,11135F101,US11135F1012,BBG00KHY5S69,BDZ78H9,5408601.000000
2021-09-13,2021-09-13,QQQ,BIDU,BAIDU INC - SPON ADR,0.002888,560359583.640000,056752108,US0567521085,BBG000QXWHD1,B0FXT17,3432314.000000
2021-09-13,2021-09-13,QQQ,BIIB,BIOGEN INC,0.003103,602156224.540000,09062X103,US09062X1037,BBG000C17X76,2455965,1994291.000000
2021-09-13,2021-09-13,QQQ,BKNG,BOOKING HOLDINGS INC,0.006509,1262919793.800000,09857L108,US09857L1089,BBG000BLBVN4,BDRXDB4,543865.000000
2021-09-13,2021-09-13,QQQ,CDNS,CADENCE DESIGN SYS INC,0.003127,606831448.160000,127387108,US1273871087,BBG000C13CD9,2302232,3686032.000000
2021-09-13,2021-09-13,QQQ,CDW,CDW CORP/DE,0.001883,365446950.330000,12514G108,US12514G1085,BBG001P63B80,BBM5MD6,1857229.000000
