etfg_date,as_of_date,etf_ticker,constituent_ticker,constituent_description,constituent_weight,constituent_market_value,constituent_cusip,constituent_isin,constituent_figi,constituent_sedol,shares_held_of_constituent
2021-09-07,2021-09-07,QQQ,AAPL,APPLE INC,0.115503,22565564158.230000,037833100,US0378331005,BBG000B9XRY4,2046251,144014067.000000
2021-09-07,2021-09-07,QQQ,ADBE,ADOBE SYSTEMS INC,0.021251,4151750060.900000,00724F101,US00724F1012,BBG000BB5006,2008154,6277310.000000
2021-09-07,2021-09-07,QQQ,ADI,ANALOG DEVICES INC,0.004048,790818653.750000,032654105,US0326541051,BBG000BB6G37,2032067,4843625.000000
2021-09-07,2021-09-07,QQQ,ADP,AUTOMATIC DATA PROCESSING,0.005784,1130077620.630000,053015103,US0530151036,BBG000JG0547,2065308,5588081.000000
2021-09-07,2021-09-07,QQQ,ADSK,AUTODESK INC,0.004252,830758537.620000,052769106,US0527691069,BBG000BM7HL0,2065159,2889997.000000
2021-09-07,2021-09-07,QQQ,AEP,AMERICAN ELECTRIC POWER,0.002987,583511973.410000,025537101,US0255371017,BBG000BB9KF2,2026242,6562951.000000
2021-09-07,2021-09-07,QQQ,ALGN,Align Technology Inc.,0.003810,744349174.690000,016255101,US0162551016,BBG000BRNLL2,2679204,1039289.000000
2021-09-07,2021-09-07,QQQ,AMAT,APPLIED MATERIALS INC,0.008386,1638262990.940000,038222105,US0382221051,BBG000BBPFB9,2046552,12002806.000000
2021-09-07,2021-09-07,QQQ,AMD,ADVANCED MICRO DEVICES INC,0.008915,1741606896.050000,007903107,US0079031078,BBG000BBQCY0,2007849,15956087.000000
2021-09-07,2021-09-07,QQQ,AMGN,AMGEN INC,0.008548,1670076259.320000,031162100,US0311621009,BBG000BBS2Y0,2023607,7545298.000000
2021-09-07,2021-09-07,QQQ,AMZN,AMAZON.COM INC,0.078179,15273640785.050000,023135106,US0231351067,BBG000BVPV84,2000019,4352345.000000
2021-09-07,2021-09-07,QQQ,ANSS,ANSYS INC,0.002180,425841184.330000,03662Q105,US03662Q1058,BBG000GXZ4W7,2045623,1144519.000000
2021-09-07,2021-09-07,QQQ,ASML,ASML HOLDING NV-NY REG SHS,0.004602,899160476.760000,N07059210,USN070592100,BBG000K6MRN4,B908F01,1043388.000000
2021-09-07,2021-09-07,QQQ,ATVI,ACTIVISION BLIZZARD INC,0.004099,800717767.220000,00507V109,US00507V1098,BBG000CVWGS6,2575818,10204126.000000
2021-09-07,2021-09-07,QQQ,AVGO,Broadcom Inc.,0.013629,2662698199.350000,11135F101,US11135F1012,BBG00KHY5S69,BDZ78H9,5361965.000000
2021-09-07,2021-09-07,QQQ,BIDU,BAIDU INC - SPON ADR,0.002903,567158202.360000,056752108,US0567521085,BBG000QXWHD1,B0FXT17,3402677.000000
2021-09-07,2021-09-07,QQQ,BIIB,BIOGEN INC,0.003312,646990785.360000,09062X103,US09062X1037,BBG000C17X76,2455965,1977114.000000
2021-09-07,2021-09-07,QQQ,BKNG,BOOKING HOLDINGS INC,0.006454,1260835338.360000,09857L108,US09857L1089,BBG000BLBVN4,BDRXDB4,539148.000000
2021-09-07,2021-09-07,QQQ,CDNS,CADENCE DESIGN SYS INC,0.003086,602879649.820000,127387108,US1273871087,BBG000C13CD9,2302232,3654259.000000
2021-09-07,2021-09-07,QQQ,CDW,CDW CORP/DE,0.001897,370543311.250000,12514G108,US12514G1085,BBG001P63B80,BBM5MD6,1841209.000000
2021-09-07,2021-09-07,QQQ,CERN,CERNER CORP,0.001535,299903227.910000,156782104,US1567821046,BBG000BFDLV8,2185284,3957029.000000
2021-09-07,2021-09-07,QQQ,CHKP,Check Point Software Technologies Ltd.,0.001117,218163203.220000,M22465104,IL0010824113,BBG000K82ZT8,2181334,1776718.000000
2021-09-07,2021-09-07,QQQ,CHTR,CHARTER COMMUNICATIONS INC-A,0.010156,1984147619.620000,16119P108,US16119P1084,BBG000VPGNR2,BZ6VT82,2477614.000000
2021-09-07,2021-09-07,QQQ,CMCSA,COMCAST CORP-CLASS A,0.018584,3630667221.000000,20030N101,US20030N1019,BBG000BFT2L4,2044545,60210070.000000
2021-09-07,2021-09-07,QQQ,COST,COSTCO WHOLESALE CORP,0.013672,2670970455.600000,22160K105,US22160K1051,BBG000F6H8W8,2701271,5811511.000000
2021-09-07,2021-09-07,QQQ,CPRT,COPART INC,0.002274,444281981.000000,217204106,US2172041061,BBG000BM9RH1,2208073,3106867.000000
2021-09-07,2021-09-07,QQQ,CRWD,Crowdstrike Holdings Inc. Class A,0.003610,705314599.680000,22788C105,US22788C1053,BBG00BLYKS03,BJJP138,2615376.000000
2021-09-07,2021-09-07,QQQ,CSCO,CISCO SYSTEMS INC,0.016679,3258579235.840000,17275R102,US17275R1023,BBG000C3J3C9,2198163,55342718.000000
2021-09-07,2021-09-07,QQQ,CSX,CSX CORP,0.004813,940242550.470000,126408103,US1264081035,BBG000BGJRC8,2160753,29839497.000000
2021-09-07,2021-09-07,QQQ,CTAS,CINTAS CORP,0.002764,540062913.520000,172908105,US1729081059,BBG000H3YXF8,2197137,1379612.000000
2021-09-07,2021-09-07,QQQ,CTSH,COGNIZANT TECH SOLUTIONS-A,0.002702,527843187.070000,192446102,US1924461023,BBG000BBDV81,2257019,6926167.000000
2021-09-07,2021-09-07,QQQ,DLTR,DOLLAR TREE INC,0.001438,280914016.380000,256746108,US2567461080,BBG000BSC0K9,2272476,3046129.000000
2021-09-07,2021-09-07,QQQ,DOCU,DocuSign Inc.,0.003812,744784832.000000,256163106,US2561631068,BBG000N7KJX8,BFYT7B7,2555008.000000
2021-09-07,2021-09-07,QQQ,DXCM,DEXCOM INC,0.003586,700589443.560000,252131107,US2521311074,BBG000QTF8K1,B0796X4,1269966.000000
2021-09-07,2021-09-07,QQQ,EA,ELECTRONIC ARTS INC,0.002794,545798914.160000,285512109,US2855121099,BBG000BP0KQ8,2310194,3758428.000000
2021-09-07,2021-09-07,QQQ,EBAY,EBAY INC,0.003421,668402428.460000,278642103,US2786421030,BBG000C43RR5,2293819,8946626.000000
2021-09-07,2021-09-07,QQQ,EXC,EXELON CORP,0.003252,635346184.840000,30161N101,US30161N1019,BBG000J6XT05,2670519,12832684.000000
2021-09-07,2021-09-07,QQQ,FAST,FASTENAL CO,0.002086,407457273.080000,311900104,US3119001044,BBG000BJ8YN7,2332262,7544108.000000
2021-09-07,2021-09-07,QQQ,FB,Facebook Inc.,0.040450,7902659184.280000,30303M102,US30303M1027,BBG000MM2P62,B7TL820,20677846.000000
2021-09-07,2021-09-07,QQQ,FISV,FISERV INC,0.005154,1006971280.000000,337738108,US3377381088,BBG000BJKPG0,2342034,8756272.000000
2021-09-07,2021-09-07,QQQ,FOX,FOX CORP- CLASS B,0.000580,113217550.600000,35137L204,US35137L2043,BBG00JHNKJY8,BJJMGY5,3326015.000000
2021-09-07,2021-09-07,QQQ,FOXA,FOX CORP - CLASS A,0.000808,157786345.500000,35137L105,US35137L1052,BBG00JHNJW99,BJJMGL2,4293506.000000
2021-09-07,2021-09-07,QQQ,GILD,GILEAD SCIENCES INC,0.006002,1172529911.700000,375558103,US3755581036,BBG000CKGBP2,2369174,16470430.000000
2021-09-07,2021-09-07,QQQ,GOOG,ALPHABET INC-CL C,0.041600,8127195404.680000,02079K107,US02079K1079,BBG009S3NB30,BYY88Y7,2792486.000000
2021-09-07,2021-09-07,QQQ,GOOGL,ALPHABET INC-CL A,0.038335,7489485330.600000,02079K305,US02079K3059,BBG009S39JX6,BYVY8G0,2595460.000000
2021-09-07,2021-09-07,QQQ,HON,HONEYWELL INTERNATIONAL INC,0.010408,2033389561.860000,438516106,US4385161066,BBG000H556T9,2020459,9121202.000000
2021-09-07,2021-09-07,QQQ,IDXX,IDEXX LABS,0.003908,763460856.620000,45168D104,US45168D1046,BBG000BLRT07,2459202,1119986.000000
2021-09-07,2021-09-07,QQQ,ILMN,ILLUMINA INC,0.004531,885120160.050000,452327109,US4523271090,BBG000DSMS70,2613990,1917297.000000
2021-09-07,2021-09-07,QQQ,INCY,Incyte Corp.,0.001104,215740024.200000,45337C102,US45337C1027,BBG000BNPSQ9,2471950,2888086.000000
