etfg_date,as_of_date,etf_ticker,constituent_ticker,constituent_description,constituent_weight,constituent_market_value,constituent_cusip,constituent_isin,constituent_figi,constituent_sedol,shares_held_of_constituent
2021-09-01,2021-09-01,QQQ,AAPL,APPLE INC,0.112892,22195557643.470000,037833100,US0378331005,BBG000B9XRY4,2046251,145535097.000000
2021-09-01,2021-09-01,QQQ,ADBE,ADOBE SYSTEMS INC,0.021485,4224154453.580000,00724F101,US00724F1012,BBG000BB5006,2008154,6343622.000000
2021-09-01,2021-09-01,QQQ,ADI,ANALOG DEVICES INC,0.004011,788603966.870000,032654105,US0326541051,BBG000BB6G37,2032067,4894817.000000
2021-09-01,2021-09-01,QQQ,ADP,AUTOMATIC DATA PROCESSING,0.005942,1168158899.140000,053015103,US0530151036,BBG000JG0547,2065308,5647099.000000
2021-09-01,2021-09-01,QQQ,ADSK,AUTODESK INC,0.004505,885630917.640000,052769106,US0527691069,BBG000BM7HL0,2065159,2920561.000000
2021-09-01,2021-09-01,QQQ,AEP,AMERICAN ELECTRIC POWER,0.003053,600221973.500000,025537101,US0255371017,BBG000BB9KF2,2026242,6632287.000000
2021-09-01,2021-09-01,QQQ,ALGN,Align Technology Inc.,0.003839,754875209.600000,016255101,US0162551016,BBG000BRNLL2,2679204,1050305.000000
2021-09-01,2021-09-01,QQQ,AMAT,APPLIED MATERIALS INC,0.008234,1618816149.080000,038222105,US0382221051,BBG000BBPFB9,2046552,12129598.000000
2021-09-01,2021-09-01,QQQ,AMD,ADVANCED MICRO DEVICES INC,0.009021,1773546623.830000,007903107,US0079031078,BBG000BBQCY0,2007849,16124617.000000
2021-09-01,2021-09-01,QQQ,AMGN,AMGEN INC,0.008662,1703044196.700000,031162100,US0311621009,BBG000BBS2Y0,2023607,7625002.000000
2021-09-01,2021-09-01,QQQ,AMZN,AMAZON.COM INC,0.077829,15301870087.000000,023135106,US0231351067,BBG000BVPV84,2000019,4398353.000000
2021-09-01,2021-09-01,QQQ,ANSS,ANSYS INC,0.002177,428016946.900000,03662Q105,US03662Q1058,BBG000GXZ4W7,2045623,1156615.000000
2021-09-01,2021-09-01,QQQ,ASML,ASML HOLDING NV-NY REG SHS,0.004517,887987416.680000,N07059210,USN070592100,BBG000K6MRN4,B908F01,1054404.000000
2021-09-01,2021-09-01,QQQ,ATVI,ACTIVISION BLIZZARD INC,0.004317,848670193.000000,00507V109,US00507V1098,BBG000CVWGS6,2575818,10311910.000000
2021-09-01,2021-09-01,QQQ,AVGO,Broadcom Inc.,0.013592,2672215570.120000,11135F101,US11135F1012,BBG00KHY5S69,BDZ78H9,5418557.000000
2021-09-01,2021-09-01,QQQ,BIDU,BAIDU INC - SPON ADR,0.002889,567994720.380000,056752108,US0567521085,BBG000QXWHD1,B0FXT17,3438641.000000
2021-09-01,2021-09-01,QQQ,BIIB,BIOGEN INC,0.003437,675789313.920000,09062X103,US09062X1037,BBG000C17X76,2455965,1997958.000000
2021-09-01,2021-09-01,QQQ,BKNG,BOOKING HOLDINGS INC,0.006338,1246040533.200000,09857L108,US09857L1089,BBG000BLBVN4,BDRXDB4,544872.000000
2021-09-01,2021-09-01,QQQ,CDNS,CADENCE DESIGN SYS INC,0.003083,606175582.250000,127387108,US1273871087,BBG000C13CD9,2302232,3692815.000000
2021-09-01,2021-09-01,QQQ,CDW,CDW CORP/DE,0.001895,372669388.210000,12514G108,US12514G1085,BBG001P63B80,BBM5MD6,1860649.000000
