etfg_date,as_of_date,etf_ticker,constituent_ticker,constituent_description,constituent_weight,constituent_market_value,constituent_cusip,constituent_isin,constituent_figi,constituent_sedol,shares_held_of_constituent
2021-09-09,2021-09-09,QQQ,AAPL,APPLE INC,0.114406,22251180737.800000,037833100,US0378331005,BBG000B9XRY4,2046251,144422540.000000
2021-09-09,2021-09-09,QQQ,ADBE,ADOBE SYSTEMS INC,0.021417,4165352354.880000,00724F101,US00724F1012,BBG000BB5006,2008154,6295116.000000
2021-09-09,2021-09-09,QQQ,ADI,ANALOG DEVICES INC,0.004216,819972798.510000,032654105,US0326541051,BBG000BB6G37,2032067,4857371.000000
2021-09-09,2021-09-09,QQQ,ADP,AUTOMATIC DATA PROCESSING,0.005854,1138497263.040000,053015103,US0530151036,BBG000JG0547,2065308,5603944.000000
2021-09-09,2021-09-09,QQQ,ADSK,AUTODESK INC,0.004287,833755326.720000,052769106,US0527691069,BBG000BM7HL0,2065159,2898204.000000
2021-09-09,2021-09-09,QQQ,AEP,AMERICAN ELECTRIC POWER,0.003059,594973837.600000,025537101,US0255371017,BBG000BB9KF2,2026242,6581569.000000
2021-09-09,2021-09-09,QQQ,ALGN,Align Technology Inc.,0.003893,757098643.270000,016255101,US0162551016,BBG000BRNLL2,2679204,1042247.000000
2021-09-09,2021-09-09,QQQ,AMAT,APPLIED MATERIALS INC,0.008355,1624975020.000000,038222105,US0382221051,BBG000BBPFB9,2046552,12036852.000000
2021-09-09,2021-09-09,QQQ,AMD,ADVANCED MICRO DEVICES INC,0.008733,1698543939.400000,007903107,US0079031078,BBG000BBQCY0,2007849,16001356.000000
2021-09-09,2021-09-09,QQQ,AMGN,AMGEN INC,0.008387,1631229186.000000,031162100,US0311621009,BBG000BBS2Y0,2023607,7566700.000000
2021-09-09,2021-09-09,QQQ,AMZN,AMAZON.COM INC,0.078190,15207309667.840000,023135106,US0231351067,BBG000BVPV84,2000019,4364699.000000
2021-09-09,2021-09-09,QQQ,ANSS,ANSYS INC,0.002195,426934890.990000,03662Q105,US03662Q1058,BBG000GXZ4W7,2045623,1147767.000000
2021-09-09,2021-09-09,QQQ,ASML,ASML HOLDING NV-NY REG SHS,0.004592,893056311.000000,N07059210,USN070592100,BBG000K6MRN4,B908F01,1046346.000000
2021-09-09,2021-09-09,QQQ,ATVI,ACTIVISION BLIZZARD INC,0.004107,798690957.400000,00507V109,US00507V1098,BBG000CVWGS6,2575818,10233068.000000
2021-09-09,2021-09-09,QQQ,AVGO,Broadcom Inc.,0.013644,2653575181.890000,11135F101,US11135F1012,BBG00KHY5S69,BDZ78H9,5377161.000000
2021-09-09,2021-09-09,QQQ,BIDU,BAIDU INC - SPON ADR,0.002871,558428459.100000,056752108,US0567521085,BBG000QXWHD1,B0FXT17,3412334.000000
2021-09-09,2021-09-09,QQQ,BIIB,BIOGEN INC,0.003060,595110706.650000,09062X103,US09062X1037,BBG000C17X76,2455965,1982711.000000
2021-09-09,2021-09-09,QQQ,BKNG,BOOKING HOLDINGS INC,0.006446,1253670088.950000,09857L108,US09857L1089,BBG000BLBVN4,BDRXDB4,540685.000000
2021-09-09,2021-09-09,QQQ,CDNS,CADENCE DESIGN SYS INC,0.003126,607995776.920000,127387108,US1273871087,BBG000C13CD9,2302232,3664612.000000
2021-09-09,2021-09-09,QQQ,CDW,CDW CORP/DE,0.001894,368454906.950000,12514G108,US12514G1085,BBG001P63B80,BBM5MD6,1846429.000000
2021-09-09,2021-09-09,QQQ,CERN,CERNER CORP,0.001531,297817312.600000,156782104,US1567821046,BBG000BFDLV8,2185284,3968252.000000
2021-09-09,2021-09-09,QQQ,CHKP,Check Point Software Technologies Ltd.,0.001121,217981007.760000,M22465104,IL0010824113,BBG000K82ZT8,2181334,1781764.000000
2021-09-09,2021-09-09,QQQ,CHTR,CHARTER COMMUNICATIONS INC-A,0.010034,1951454819.120000,16119P108,US16119P1084,BBG000VPGNR2,BZ6VT82,2484632.000000
2021-09-09,2021-09-09,QQQ,CMCSA,COMCAST CORP-CLASS A,0.018491,3596283485.560000,20030N101,US20030N1019,BBG000BFT2L4,2044545,60380851.000000
2021-09-09,2021-09-09,QQQ,COST,COSTCO WHOLESALE CORP,0.013962,2715490399.020000,22160K105,US22160K1051,BBG000F6H8W8,2701271,5827983.000000
2021-09-09,2021-09-09,QQQ,CPRT,COPART INC,0.002276,442707397.470000,217204106,US2172041061,BBG000BM9RH1,2208073,3115683.000000
2021-09-09,2021-09-09,QQQ,CRWD,Crowdstrike Holdings Inc. Class A,0.003576,695461648.000000,22788C105,US22788C1053,BBG00BLYKS03,BJJP138,2622800.000000
