etfg_date,as_of_date,etf_ticker,constituent_ticker,constituent_description,constituent_weight,constituent_market_value,constituent_cusip,constituent_isin,constituent_figi,constituent_sedol,shares_held_of_constituent
2021-09-02,2021-09-02,QQQ,AAPL,APPLE INC,0.113778,22316029968.750000,037833100,US0378331005,BBG000B9XRY4,2046251,145239375.000000
2021-09-02,2021-09-02,QQQ,ADBE,ADOBE SYSTEMS INC,0.021453,4207655057.920000,00724F101,US00724F1012,BBG000BB5006,2008154,6330728.000000
2021-09-02,2021-09-02,QQQ,ADI,ANALOG DEVICES INC,0.004050,794376421.060000,032654105,US0326541051,BBG000BB6G37,2032067,4884863.000000
2021-09-02,2021-09-02,QQQ,ADP,AUTOMATIC DATA PROCESSING,0.005934,1163927283.490000,053015103,US0530151036,BBG000JG0547,2065308,5635633.000000
2021-09-02,2021-09-02,QQQ,ADSK,AUTODESK INC,0.004272,837865236.460000,052769106,US0527691069,BBG000BM7HL0,2065159,2914618.000000
2021-09-02,2021-09-02,QQQ,AEP,AMERICAN ELECTRIC POWER,0.003069,601847938.650000,025537101,US0255371017,BBG000BB9KF2,2026242,6618805.000000
2021-09-02,2021-09-02,QQQ,ALGN,Align Technology Inc.,0.003896,764142271.890000,016255101,US0162551016,BBG000BRNLL2,2679204,1048163.000000
2021-09-02,2021-09-02,QQQ,AMAT,APPLIED MATERIALS INC,0.008298,1627509720.800000,038222105,US0382221051,BBG000BBPFB9,2046552,12104944.000000
2021-09-02,2021-09-02,QQQ,AMD,ADVANCED MICRO DEVICES INC,0.008959,1757230784.400000,007903107,US0079031078,BBG000BBQCY0,2007849,16091857.000000
2021-09-02,2021-09-02,QQQ,AMGN,AMGEN INC,0.008767,1719443523.840000,031162100,US0311621009,BBG000BBS2Y0,2023607,7609504.000000
2021-09-02,2021-09-02,QQQ,AMZN,AMAZON.COM INC,0.077503,15201043169.840000,023135106,US0231351067,BBG000BVPV84,2000019,4389407.000000
2021-09-02,2021-09-02,QQQ,ANSS,ANSYS INC,0.002168,425230489.200000,03662Q105,US03662Q1058,BBG000GXZ4W7,2045623,1154263.000000
2021-09-02,2021-09-02,QQQ,ASML,ASML HOLDING NV-NY REG SHS,0.004621,906292215.360000,N07059210,USN070592100,BBG000K6MRN4,B908F01,1052262.000000
