etfg_date,as_of_date,etf_ticker,constituent_ticker,constituent_description,constituent_weight,constituent_market_value,constituent_cusip,constituent_isin,constituent_figi,constituent_sedol,shares_held_of_constituent
2021-08-31,2021-08-31,QQQ,AAPL,APPLE INC,0.112603,21908416890.150000,037833100,US0378331005,BBG000B9XRY4,2046251,144295705.000000
2021-08-31,2021-08-31,QQQ,ADBE,ADOBE SYSTEMS INC,0.021455,4174400883.000000,00724F101,US00724F1012,BBG000BB5006,2008154,6289590.000000
2021-08-31,2021-08-31,QQQ,ADI,ANALOG DEVICES INC,0.004065,790813459.750000,032654105,US0326541051,BBG000BB6G37,2032067,4853105.000000
2021-08-31,2021-08-31,QQQ,ADP,AUTOMATIC DATA PROCESSING,0.006016,1170407225.520000,053015103,US0530151036,BBG000JG0547,2065308,5598963.000000
2021-08-31,2021-08-31,QQQ,ADSK,AUTODESK INC,0.004615,897914279.130000,052769106,US0527691069,BBG000BM7HL0,2065159,2895657.000000
2021-08-31,2021-08-31,QQQ,AEP,AMERICAN ELECTRIC POWER,0.003027,588993599.870000,025537101,US0255371017,BBG000BB9KF2,2026242,6575791.000000
2021-08-31,2021-08-31,QQQ,ALGN,Align Technology Inc.,0.003795,738302261.000000,016255101,US0162551016,BBG000BRNLL2,2679204,1041329.000000
2021-08-31,2021-08-31,QQQ,AMAT,APPLIED MATERIALS INC,0.008353,1625112027.180000,038222105,US0382221051,BBG000BBPFB9,2046552,12026286.000000
2021-08-31,2021-08-31,QQQ,AMD,ADVANCED MICRO DEVICES INC,0.009098,1770117952.640000,007903107,US0079031078,BBG000BBQCY0,2007849,15987337.000000
2021-08-31,2021-08-31,QQQ,AMGN,AMGEN INC,0.008763,1705019880.740000,031162100,US0311621009,BBG000BBS2Y0,2023607,7560058.000000
2021-08-31,2021-08-31,QQQ,AMZN,AMAZON.COM INC,0.077793,15135646633.350000,023135106,US0231351067,BBG000BVPV84,2000019,4360865.000000
2021-08-31,2021-08-31,QQQ,ANSS,ANSYS INC,0.002153,418979868.240000,03662Q105,US03662Q1058,BBG000GXZ4W7,2045623,1146759.000000
2021-08-31,2021-08-31,QQQ,ASML,ASML HOLDING NV-NY REG SHS,0.004476,870883341.120000,N07059210,USN070592100,BBG000K6MRN4,B908F01,1045428.000000
2021-08-31,2021-08-31,QQQ,ATVI,ACTIVISION BLIZZARD INC,0.004328,842157963.820000,00507V109,US00507V1098,BBG000CVWGS6,2575818,10224086.000000
2021-08-31,2021-08-31,QQQ,AVGO,Broadcom Inc.,0.013729,2671233378.450000,11135F101,US11135F1012,BBG00KHY5S69,BDZ78H9,5372445.000000
2021-08-31,2021-08-31,QQQ,BIDU,BAIDU INC - SPON ADR,0.002751,535334095.740000,056752108,US0567521085,BBG000QXWHD1,B0FXT17,3409337.000000
2021-08-31,2021-08-31,QQQ,BIIB,BIOGEN INC,0.003451,671371898.340000,09062X103,US09062X1037,BBG000C17X76,2455965,1980974.000000
2021-08-31,2021-08-31,QQQ,BKNG,BOOKING HOLDINGS INC,0.006385,1242300131.360000,09857L108,US09857L1089,BBG000BLBVN4,BDRXDB4,540208.000000
2021-08-31,2021-08-31,QQQ,CDNS,CADENCE DESIGN SYS INC,0.003076,598565508.520000,127387108,US1273871087,BBG000C13CD9,2302232,3661399.000000
2021-08-31,2021-08-31,QQQ,CDW,CDW CORP/DE,0.001902,370087133.490000,12514G108,US12514G1085,BBG001P63B80,BBM5MD6,1844809.000000
2021-08-31,2021-08-31,QQQ,CERN,CERNER CORP,0.001556,302710113.150000,156782104,US1567821046,BBG000BFDLV8,2185284,3964769.000000
2021-08-31,2021-08-31,QQQ,CHKP,Check Point Software Technologies Ltd.,0.001149,223646274.740000,M22465104,IL0010824113,BBG000K82ZT8,2181334,1780198.000000
2021-08-31,2021-08-31,QQQ,CHTR,CHARTER COMMUNICATIONS INC-A,0.010420,2027320883.640000,16119P108,US16119P1084,BBG000VPGNR2,BZ6VT82,2482454.000000
2021-08-31,2021-08-31,QQQ,CMCSA,COMCAST CORP-CLASS A,0.018815,3660695758.400000,20030N101,US20030N1019,BBG000BFT2L4,2044545,60327880.000000
2021-08-31,2021-08-31,QQQ,COST,COSTCO WHOLESALE CORP,0.013632,2652259511.790000,22160K105,US22160K1051,BBG000F6H8W8,2701271,5822871.000000
2021-08-31,2021-08-31,QQQ,CPRT,COPART INC,0.002309,449260511.040000,217204106,US2172041061,BBG000BM9RH1,2208073,3112947.000000
2021-08-31,2021-08-31,QQQ,CRWD,Crowdstrike Holdings Inc. Class A,0.003785,736359376.000000,22788C105,US22788C1053,BBG00BLYKS03,BJJP138,2620496.000000
2021-08-31,2021-08-31,QQQ,CSCO,CISCO SYSTEMS INC,0.016821,3272715541.160000,17275R102,US17275R1023,BBG000C3J3C9,2198163,55450958.000000
2021-08-31,2021-08-31,QQQ,CSX,CSX CORP,0.004999,972577288.210000,126408103,US1264081035,BBG000BGJRC8,2160753,29897857.000000
2021-08-31,2021-08-31,QQQ,CTAS,CINTAS CORP,0.002812,547077620.240000,172908105,US1729081059,BBG000H3YXF8,2197137,1382312.000000
2021-08-31,2021-08-31,QQQ,CTSH,COGNIZANT TECH SOLUTIONS-A,0.002722,529569041.170000,192446102,US1924461023,BBG000BBDV81,2257019,6939707.000000
2021-08-31,2021-08-31,QQQ,DLTR,DOLLAR TREE INC,0.001420,276336138.060000,256746108,US2567461080,BBG000BSC0K9,2272476,3052089.000000
2021-08-31,2021-08-31,QQQ,DOCU,DocuSign Inc.,0.003898,758376769.920000,256163106,US2561631068,BBG000N7KJX8,BFYT7B7,2560008.000000
2021-08-31,2021-08-31,QQQ,DXCM,DEXCOM INC,0.003462,673658361.320000,252131107,US2521311074,BBG000QTF8K1,B0796X4,1272446.000000
2021-08-31,2021-08-31,QQQ,EA,ELECTRONIC ARTS INC,0.002811,546830075.480000,285512109,US2855121099,BBG000BP0KQ8,2310194,3765788.000000
2021-08-31,2021-08-31,QQQ,EBAY,EBAY INC,0.003536,687907029.240000,278642103,US2786421030,BBG000C43RR5,2293819,8964126.000000
2021-08-31,2021-08-31,QQQ,EXC,EXELON CORP,0.003240,630288571.680000,30161N101,US30161N1019,BBG000J6XT05,2670519,12857784.000000
2021-08-31,2021-08-31,QQQ,FAST,FASTENAL CO,0.002170,422162777.800000,311900104,US3119001044,BBG000BJ8YN7,2332262,7558868.000000
2021-08-31,2021-08-31,QQQ,FB,Facebook Inc.,0.040399,7860103342.680000,30303M102,US30303M1027,BBG000MM2P62,B7TL820,20718286.000000
2021-08-31,2021-08-31,QQQ,FISV,FISERV INC,0.005311,1033417843.680000,337738108,US3377381088,BBG000BJKPG0,2342034,8773392.000000
2021-08-31,2021-08-31,QQQ,FOX,FOX CORP- CLASS B,0.000593,115404994.450000,35137L204,US35137L2043,BBG00JHNKJY8,BJJMGY5,3332515.000000
2021-08-31,2021-08-31,QQQ,FOXA,FOX CORP - CLASS A,0.000828,161063360.640000,35137L105,US35137L1052,BBG00JHNJW99,BJJMGL2,4301906.000000
2021-08-31,2021-08-31,QQQ,GILD,GILEAD SCIENCES INC,0.006173,1201062867.000000,375558103,US3755581036,BBG000CKGBP2,2369174,16502650.000000
2021-08-31,2021-08-31,QQQ,GOOG,ALPHABET INC-CL C,0.041837,8139896421.040000,02079K107,US02079K1079,BBG009S3NB30,BYY88Y7,2797946.000000
2021-08-31,2021-08-31,QQQ,GOOGL,ALPHABET INC-CL A,0.038681,7525832733.000000,02079K305,US02079K3059,BBG009S39JX6,BYVY8G0,2600540.000000
2021-08-31,2021-08-31,QQQ,HON,HONEYWELL INTERNATIONAL INC,0.010893,2119435230.220000,438516106,US4385161066,BBG000H556T9,2020459,9139042.000000
2021-08-31,2021-08-31,QQQ,IDXX,IDEXX LABS,0.003886,756084039.360000,45168D104,US45168D1046,BBG000BLRT07,2459202,1122186.000000
2021-08-31,2021-08-31,QQQ,ILMN,ILLUMINA INC,0.004514,878220817.760000,452327109,US4523271090,BBG000DSMS70,2613990,1921036.000000
2021-08-31,2021-08-31,QQQ,INCY,Incyte Corp.,0.001138,221341101.740000,45337C102,US45337C1027,BBG000BNPSQ9,2471950,2893726.000000
2021-08-31,2021-08-31,QQQ,INTC,INTEL CORP,0.014763,2872341220.080000,458140100,US4581401001,BBG000C0G1D1,2463247,53132468.000000
2021-08-31,2021-08-31,QQQ,INTU,INTUIT INC,0.010462,2035496624.350000,461202103,US4612021034,BBG000BH5DV1,2459020,3595585.000000
2021-08-31,2021-08-31,QQQ,ISRG,INTUITIVE SURGICAL INC,0.008437,1641533925.480000,46120E602,US46120E6023,BBG000BJPDZ1,2871301,1558083.000000
2021-08-31,2021-08-31,QQQ,JD,JD.COM INC-ADR,0.004281,833007817.600000,47215P106,US47215P1066,BBG005YHY0Q7,BMM27D9,10603460.000000
2021-08-31,2021-08-31,QQQ,KDP,KEURIG DR PEPPER INC,0.003419,665250315.450000,49271V100,US49271V1008,BBG000TJM7F0,BD3W133,18650135.000000
2021-08-31,2021-08-31,QQQ,KHC,KRAFT HEINZ CO/THE,0.002977,579234792.740000,500754106,US5007541064,BBG005CPNTQ2,BYRY499,16094326.000000
2021-08-31,2021-08-31,QQQ,KLAC,KLA Corporation,0.003524,685670763.360000,482480100,US4824801009,BBG000BMTFR4,2480138,2016916.000000
2021-08-31,2021-08-31,QQQ,LRCX,LAM RESEARCH CORP,0.005834,1134996139.700000,512807108,US5128071082,BBG000BNFLM9,2502247,1876585.000000
2021-08-31,2021-08-31,QQQ,LULU,LULULEMON ATHLETICA INC,0.003386,658870701.090000,550021109,US5500211090,BBG000R8ZVD1,B23FN39,1646477.000000
2021-08-31,2021-08-31,QQQ,MAR,"Marriott International, Inc Class A",0.002976,579042871.820000,571903202,US5719032022,BBG000BGD7W6,2210614,4284763.000000
2021-08-31,2021-08-31,QQQ,MCHP,MICROCHIP TECHNOLOGY INC,0.002911,566357837.920000,595017104,US5950171042,BBG000BHCP19,2592174,3599122.000000
2021-08-31,2021-08-31,QQQ,MDLZ,MONDELEZ INTERNATIONAL INC-A,0.005897,1147261286.220000,609207105,US6092071058,BBG000D4LWF6,B8CKK03,18483346.000000
2021-08-31,2021-08-31,QQQ,MELI,MERCADOLIBRE INC,0.006296,1224972502.000000,58733R102,US58733R1023,BBG000GQPB11,B23X1H3,655960.000000
2021-08-31,2021-08-31,QQQ,MNST,MONSTER BEVERAGE CORP,0.003488,678589593.000000,61174X109,US61174X1090,BBG008NVB1C0,BZ07BW4,6954900.000000
