etfg_date,as_of_date,etf_ticker,constituent_ticker,constituent_description,constituent_weight,constituent_market_value,constituent_cusip,constituent_isin,constituent_figi,constituent_sedol,shares_held_of_constituent
2021-09-10,2021-09-10,QQQ,AAPL,APPLE INC,0.111482,21487348631.950000,037833100,US0378331005,BBG000B9XRY4,2046251,144239435.000000
2021-09-10,2021-09-10,QQQ,ADBE,ADOBE SYSTEMS INC,0.021494,4142844077.960000,00724F101,US00724F1012,BBG000BB5006,2008154,6287134.000000
2021-09-10,2021-09-10,QQQ,ADI,ANALOG DEVICES INC,0.004277,824414457.460000,032654105,US0326541051,BBG000BB6G37,2032067,4851209.000000
2021-09-10,2021-09-10,QQQ,ADP,AUTOMATIC DATA PROCESSING,0.005832,1124011971.390000,053015103,US0530151036,BBG000JG0547,2065308,5596833.000000
2021-09-10,2021-09-10,QQQ,ADSK,AUTODESK INC,0.004271,823289745.750000,052769106,US0527691069,BBG000BM7HL0,2065159,2894525.000000
2021-09-10,2021-09-10,QQQ,AEP,AMERICAN ELECTRIC POWER,0.003029,583899399.090000,025537101,US0255371017,BBG000BB9KF2,2026242,6573223.000000
2021-09-10,2021-09-10,QQQ,ALGN,Align Technology Inc.,0.003892,750160537.070000,016255101,US0162551016,BBG000BRNLL2,2679204,1040921.000000
2021-09-10,2021-09-10,QQQ,AMAT,APPLIED MATERIALS INC,0.008535,1645034375.600000,038222105,US0382221051,BBG000BBPFB9,2046552,12021590.000000
2021-09-10,2021-09-10,QQQ,AMD,ADVANCED MICRO DEVICES INC,0.008723,1681207827.600000,007903107,US0079031078,BBG000BBQCY0,2007849,15981063.000000
2021-09-10,2021-09-10,QQQ,AMGN,AMGEN INC,0.008381,1615331407.500000,031162100,US0311621009,BBG000BBS2Y0,2023607,7557106.000000
2021-09-10,2021-09-10,QQQ,AMZN,AMAZON.COM INC,0.078460,15122583383.150000,023135106,US0231351067,BBG000BVPV84,2000019,4359161.000000
2021-09-10,2021-09-10,QQQ,ANSS,ANSYS INC,0.002222,428273252.710000,03662Q105,US03662Q1058,BBG000GXZ4W7,2045623,1146311.000000
2021-09-10,2021-09-10,QQQ,ASML,ASML HOLDING NV-NY REG SHS,0.004657,897536327.400000,N07059210,USN070592100,BBG000K6MRN4,B908F01,1045020.000000
2021-09-10,2021-09-10,QQQ,ATVI,ACTIVISION BLIZZARD INC,0.004223,813928286.160000,00507V109,US00507V1098,BBG000CVWGS6,2575818,10220094.000000
2021-09-10,2021-09-10,QQQ,AVGO,Broadcom Inc.,0.013880,2675239354.350000,11135F101,US11135F1012,BBG00KHY5S69,BDZ78H9,5370349.000000
2021-09-10,2021-09-10,QQQ,BIDU,BAIDU INC - SPON ADR,0.002902,559253620.500000,056752108,US0567521085,BBG000QXWHD1,B0FXT17,3408005.000000
2021-09-10,2021-09-10,QQQ,BIIB,BIOGEN INC,0.003080,593684361.620000,09062X103,US09062X1037,BBG000C17X76,2455965,1980202.000000
2021-09-10,2021-09-10,QQQ,BKNG,BOOKING HOLDINGS INC,0.006457,1244582780.800000,09857L108,US09857L1089,BBG000BLBVN4,BDRXDB4,539996.000000
2021-09-10,2021-09-10,QQQ,CDNS,CADENCE DESIGN SYS INC,0.003169,610739360.770000,127387108,US1273871087,BBG000C13CD9,2302232,3659971.000000
2021-09-10,2021-09-10,QQQ,CDW,CDW CORP/DE,0.001894,365111181.110000,12514G108,US12514G1085,BBG001P63B80,BBM5MD6,1844089.000000
2021-09-10,2021-09-10,QQQ,CERN,CERNER CORP,0.001531,295061803.450000,156782104,US1567821046,BBG000BFDLV8,2185284,3963221.000000
2021-09-10,2021-09-10,QQQ,CHKP,Check Point Software Technologies Ltd.,0.001118,215533282.240000,M22465104,IL0010824113,BBG000K82ZT8,2181334,1779502.000000
2021-09-10,2021-09-10,QQQ,CHTR,CHARTER COMMUNICATIONS INC-A,0.010134,1953227260.320000,16119P108,US16119P1084,BBG000VPGNR2,BZ6VT82,2481486.000000
2021-09-10,2021-09-10,QQQ,CMCSA,COMCAST CORP-CLASS A,0.018553,3576044634.200000,20030N101,US20030N1019,BBG000BFT2L4,2044545,60304294.000000
2021-09-10,2021-09-10,QQQ,COST,COSTCO WHOLESALE CORP,0.014047,2707509830.840000,22160K105,US22160K1051,BBG000F6H8W8,2701271,5820599.000000
2021-09-10,2021-09-10,QQQ,CPRT,COPART INC,0.002312,445693231.130000,217204106,US2172041061,BBG000BM9RH1,2208073,3111731.000000
2021-09-10,2021-09-10,QQQ,CRWD,Crowdstrike Holdings Inc. Class A,0.003561,686301664.000000,22788C105,US22788C1053,BBG00BLYKS03,BJJP138,2619472.000000
2021-09-10,2021-09-10,QQQ,CSCO,CISCO SYSTEMS INC,0.016648,3208803682.140000,17275R102,US17275R1023,BBG000C3J3C9,2198163,55429326.000000
2021-09-10,2021-09-10,QQQ,CSX,CSX CORP,0.004799,924977673.350000,126408103,US1264081035,BBG000BGJRC8,2160753,29886193.000000
2021-09-10,2021-09-10,QQQ,CTAS,CINTAS CORP,0.002894,557835174.120000,172908105,US1729081059,BBG000H3YXF8,2197137,1381772.000000
2021-09-10,2021-09-10,QQQ,CTSH,COGNIZANT TECH SOLUTIONS-A,0.002745,529015543.740000,192446102,US1924461023,BBG000BBDV81,2257019,6936999.000000
2021-09-10,2021-09-10,QQQ,DLTR,DOLLAR TREE INC,0.001428,275221418.370000,256746108,US2567461080,BBG000BSC0K9,2272476,3050897.000000
2021-09-10,2021-09-10,QQQ,DOCU,DocuSign Inc.,0.003680,709229067.200000,256163106,US2561631068,BBG000N7KJX8,BFYT7B7,2559008.000000
2021-09-10,2021-09-10,QQQ,DXCM,DEXCOM INC,0.003625,698783891.000000,252131107,US2521311074,BBG000QTF8K1,B0796X4,1271950.000000
2021-09-10,2021-09-10,QQQ,EA,ELECTRONIC ARTS INC,0.002834,546315181.080000,285512109,US2855121099,BBG000BP0KQ8,2310194,3764316.000000
2021-09-10,2021-09-10,QQQ,EBAY,EBAY INC,0.003373,650183022.560000,278642103,US2786421030,BBG000C43RR5,2293819,8960626.000000
2021-09-10,2021-09-10,QQQ,EXC,EXELON CORP,0.003328,641481451.240000,30161N101,US30161N1019,BBG000J6XT05,2670519,12852764.000000
2021-09-10,2021-09-10,QQQ,FAST,FASTENAL CO,0.002100,404845979.280000,311900104,US3119001044,BBG000BJ8YN7,2332262,7555916.000000
2021-09-10,2021-09-10,QQQ,FB,Facebook Inc.,0.040690,7842744880.620000,30303M102,US30303M1027,BBG000MM2P62,B7TL820,20710198.000000
2021-09-10,2021-09-10,QQQ,FISV,FISERV INC,0.005036,970660058.240000,337738108,US3377381088,BBG000BJKPG0,2342034,8769968.000000
2021-09-10,2021-09-10,QQQ,FOX,FOX CORP- CLASS B,0.000576,110929459.500000,35137L204,US35137L2043,BBG00JHNKJY8,BJJMGY5,3331215.000000
2021-09-10,2021-09-10,QQQ,FOXA,FOX CORP - CLASS A,0.000802,154550122.440000,35137L105,US35137L1052,BBG00JHNJW99,BJJMGL2,4300226.000000
2021-09-10,2021-09-10,QQQ,GILD,GILEAD SCIENCES INC,0.006076,1171065663.940000,375558103,US3755581036,BBG000CKGBP2,2369174,16496206.000000
2021-09-10,2021-09-10,QQQ,GOOG,ALPHABET INC-CL C,0.041188,7938646330.680000,02079K107,US02079K1079,BBG009S3NB30,BYY88Y7,2796854.000000
2021-09-10,2021-09-10,QQQ,GOOGL,ALPHABET INC-CL A,0.038000,7324210860.480000,02079K305,US02079K3059,BBG009S39JX6,BYVY8G0,2599524.000000
2021-09-10,2021-09-10,QQQ,HON,HONEYWELL INTERNATIONAL INC,0.010540,2031455353.380000,438516106,US4385161066,BBG000H556T9,2020459,9135474.000000
2021-09-10,2021-09-10,QQQ,IDXX,IDEXX LABS,0.003967,764593291.060000,45168D104,US45168D1046,BBG000BLRT07,2459202,1121746.000000
2021-09-10,2021-09-10,QQQ,ILMN,ILLUMINA INC,0.004565,879902954.050000,452327109,US4523271090,BBG000DSMS70,2613990,1920305.000000
