etfg_date,as_of_date,etf_ticker,constituent_ticker,constituent_description,constituent_weight,constituent_market_value,constituent_cusip,constituent_isin,constituent_figi,constituent_sedol,shares_held_of_constituent
2021-08-30,2021-08-30,QQQ,AAPL,APPLE INC,0.113402,21900483343.200000,037833100,US0378331005,BBG000B9XRY4,2046251,143028235.000000
2021-08-30,2021-08-30,QQQ,ADBE,ADOBE SYSTEMS INC,0.021499,4152001436.700000,00724F101,US00724F1012,BBG000BB5006,2008154,6234330.000000
2021-08-30,2021-08-30,QQQ,ADI,ANALOG DEVICES INC,0.004159,803248101.289555,032654105,US0326541051,BBG000BB6G37,2032067,4810445.000000
2021-08-30,2021-08-30,QQQ,ADP,AUTOMATIC DATA PROCESSING,0.006008,1160301494.610000,053015103,US0530151036,BBG000JG0547,2065308,5549823.000000
2021-08-30,2021-08-30,QQQ,ADSK,AUTODESK INC,0.004658,899487903.930000,052769106,US0527691069,BBG000BM7HL0,2065159,2870187.000000
2021-08-30,2021-08-30,QQQ,AEP,AMERICAN ELECTRIC POWER,0.003025,584144145.820000,025537101,US0255371017,BBG000BB9KF2,2026242,6518011.000000
2021-08-30,2021-08-30,QQQ,ALGN,Align Technology Inc.,0.003752,724682134.390000,016255101,US0162551016,BBG000BRNLL2,2679204,1032149.000000
2021-08-30,2021-08-30,QQQ,AMAT,APPLIED MATERIALS INC,0.008398,1621801167.300000,038222105,US0382221051,BBG000BBPFB9,2046552,11920626.000000
2021-08-30,2021-08-30,QQQ,AMD,ADVANCED MICRO DEVICES INC,0.009135,1764081026.840000,007903107,US0079031078,BBG000BBQCY0,2007849,15846937.000000
2021-08-30,2021-08-30,QQQ,AMGN,AMGEN INC,0.008697,1679549084.940000,031162100,US0311621009,BBG000BBS2Y0,2023607,7493638.000000
2021-08-30,2021-08-30,QQQ,AMZN,AMAZON.COM INC,0.076583,14789821864.250000,023135106,US0231351067,BBG000BVPV84,2000019,4322525.000000
2021-08-30,2021-08-30,QQQ,ANSS,ANSYS INC,0.002153,415797178.200000,03662Q105,US03662Q1058,BBG000GXZ4W7,2045623,1136679.000000
2021-08-30,2021-08-30,QQQ,ASML,ASML HOLDING NV-NY REG SHS,0.004505,870023458.320000,N07059210,USN070592100,BBG000K6MRN4,B908F01,1036248.000000
2021-08-30,2021-08-30,QQQ,ATVI,ACTIVISION BLIZZARD INC,0.004257,822091657.920000,00507V109,US00507V1098,BBG000CVWGS6,2575818,10134266.000000
2021-08-30,2021-08-30,QQQ,AVGO,Broadcom Inc.,0.013757,2656731433.650000,11135F101,US11135F1012,BBG00KHY5S69,BDZ78H9,5325285.000000
2021-08-30,2021-08-30,QQQ,BIDU,BAIDU INC - SPON ADR,0.002680,517651437.060000,056752108,US0567521085,BBG000QXWHD1,B0FXT17,3379367.000000
2021-08-30,2021-08-30,QQQ,BIIB,BIOGEN INC,0.003502,676304489.680000,09062X103,US09062X1037,BBG000C17X76,2455965,1963604.000000
2021-08-30,2021-08-30,QQQ,BKNG,BOOKING HOLDINGS INC,0.006315,1219572486.980000,09857L108,US09857L1089,BBG000BLBVN4,BDRXDB4,535438.000000
2021-08-30,2021-08-30,QQQ,CDNS,CADENCE DESIGN SYS INC,0.003080,594800896.410000,127387108,US1273871087,BBG000C13CD9,2302232,3629269.000000
2021-08-30,2021-08-30,QQQ,CDW,CDW CORP/DE,0.001901,367074970.660000,12514G108,US12514G1085,BBG001P63B80,BBM5MD6,1828609.000000
2021-08-30,2021-08-30,QQQ,CERN,CERNER CORP,0.001551,299539950.580000,156782104,US1567821046,BBG000BFDLV8,2185284,3929939.000000
2021-08-30,2021-08-30,QQQ,CHKP,Check Point Software Technologies Ltd.,0.001157,223461092.320000,M22465104,IL0010824113,BBG000K82ZT8,2181334,1764538.000000
2021-08-30,2021-08-30,QQQ,CHTR,CHARTER COMMUNICATIONS INC-A,0.010374,2003480770.800000,16119P108,US16119P1084,BBG000VPGNR2,BZ6VT82,2460674.000000
2021-08-30,2021-08-30,QQQ,CMCSA,COMCAST CORP-CLASS A,0.018488,3570536191.600000,20030N101,US20030N1019,BBG000BFT2L4,2044545,59797960.000000
2021-08-30,2021-08-30,QQQ,COST,COSTCO WHOLESALE CORP,0.013626,2631514433.430000,22160K105,US22160K1051,BBG000F6H8W8,2701271,5771751.000000
2021-08-30,2021-08-30,QQQ,CPRT,COPART INC,0.002308,445713042.150000,217204106,US2172041061,BBG000BM9RH1,2208073,3085587.000000
2021-08-30,2021-08-30,QQQ,CRWD,Crowdstrike Holdings Inc. Class A,0.003852,743833474.720000,22788C105,US22788C1053,BBG00BLYKS03,BJJP138,2597456.000000
2021-08-30,2021-08-30,QQQ,CSCO,CISCO SYSTEMS INC,0.016829,3250014106.140000,17275R102,US17275R1023,BBG000C3J3C9,2198163,54963878.000000
2021-08-30,2021-08-30,QQQ,CSX,CSX CORP,0.005079,980926344.700000,126408103,US1264081035,BBG000BGJRC8,2160753,29635237.000000
2021-08-30,2021-08-30,QQQ,CTAS,CINTAS CORP,0.002792,539199851.860000,172908105,US1729081059,BBG000H3YXF8,2197137,1370162.000000
2021-08-30,2021-08-30,QQQ,CTSH,COGNIZANT TECH SOLUTIONS-A,0.002737,528634012.450000,192446102,US1924461023,BBG000BBDV81,2257019,6878777.000000
2021-08-30,2021-08-30,QQQ,DLTR,DOLLAR TREE INC,0.001424,275087710.170000,256746108,US2567461080,BBG000BSC0K9,2272476,3025269.000000
2021-08-30,2021-08-30,QQQ,DOCU,DocuSign Inc.,0.003990,770488929.120000,256163106,US2561631068,BBG000N7KJX8,BFYT7B7,2537508.000000
2021-08-30,2021-08-30,QQQ,DXCM,DEXCOM INC,0.003406,657811100.440000,252131107,US2521311074,BBG000QTF8K1,B0796X4,1261286.000000
2021-08-30,2021-08-30,QQQ,EA,ELECTRONIC ARTS INC,0.002766,534219444.160000,285512109,US2855121099,BBG000BP0KQ8,2310194,3732668.000000
2021-08-30,2021-08-30,QQQ,EBAY,EBAY INC,0.003560,687461541.120000,278642103,US2786421030,BBG000C43RR5,2293819,8885376.000000
2021-08-30,2021-08-30,QQQ,EXC,EXELON CORP,0.003250,627683074.500000,30161N101,US30161N1019,BBG000J6XT05,2670519,12744834.000000
2021-08-30,2021-08-30,QQQ,FAST,FASTENAL CO,0.002178,420551106.240000,311900104,US3119001044,BBG000BJ8YN7,2332262,7492448.000000
2021-08-30,2021-08-30,QQQ,FB,Facebook Inc.,0.040479,7817350241.960000,30303M102,US30303M1027,BBG000MM2P62,B7TL820,20536306.000000
2021-08-30,2021-08-30,QQQ,FISV,FISERV INC,0.005267,1017125329.920000,337738108,US3377381088,BBG000BJKPG0,2342034,8696352.000000
2021-08-30,2021-08-30,QQQ,FOX,FOX CORP- CLASS B,0.000583,112575271.200000,35137L204,US35137L2043,BBG00JHNKJY8,BJJMGY5,3303265.000000
2021-08-30,2021-08-30,QQQ,FOXA,FOX CORP - CLASS A,0.000813,157047023.980000,35137L105,US35137L1052,BBG00JHNJW99,BJJMGL2,4264106.000000
2021-08-30,2021-08-30,QQQ,GILD,GILEAD SCIENCES INC,0.006099,1177915096.600000,375558103,US3755581036,BBG000CKGBP2,2369174,16357660.000000
2021-08-30,2021-08-30,QQQ,GOOG,ALPHABET INC-CL C,0.041781,8068832400.640000,02079K107,US02079K1079,BBG009S3NB30,BYY88Y7,2773376.000000
